"level","prevalence_16","lower_16","upper_16"
"Male",0.0149145403160242,0.0135643978887922,0.0163968363441588
"Female",0.0133995356374555,0.0122793753514381,0.0146203676535892
"NA",5.7048673271714e-11,0,NA
"12-17",0.0231371978960195,0.0191121977772828,0.0279856724627589
"18-24",0.00928477809254087,0.00570588686272408,0.0150744166826051
"25-34",0.0137989422818027,0.010959908523008,0.0173604852306354
"35-44",0.017144436086306,0.0148329026131283,0.019808951750844
"5-11",0.0473634224094162,0.0414893730575198,0.0540222453346782
"45-54",0.0132420636417334,0.0115360648953274,0.0151964735469619
"55-64",0.00970681566673403,0.0083569341837298,0.0112722626655115
"65-74",0.00478898488064554,0.00388879331618774,0.00589632248739471
"75+",0.00207250066684834,0.00132111076264659,0.00324985753022333
"South East",0.0153750574537688,0.0133281078228872,0.0177307311352397
"North East",0.00997820715468989,0.00700197712345086,0.0142014082516927
"North West",0.0108137477323789,0.00864371785358146,0.0135211393287361
"Yorkshire and The Humber",0.0131729487115443,0.010461846643631,0.0165748427913753
"East Midlands",0.017272818367573,0.014159529181901,0.0210560134009439
"West Midlands",0.0103284505792538,0.00813590360843417,0.0131040613455723
"East of England",0.0121766449124491,0.00992982652055905,0.0149241867645503
"London",0.0183546871504192,0.0159061873169109,0.021171985016285
"South West",0.0156896893948082,0.0129750713522035,0.0189613437023491
"HCW/CHW",0.0141014614007549,0.0112988463607283,0.0175868836350469
"Key worker (other)",0.0195606120398716,0.0170216253041203,0.0224696630684993
"Other worker",0.0152270438027993,0.0138110108039706,0.0167857904742124
"Not FT, PT, SE",0.0105645835609173,0.00924495005692196,0.0120702880380387
"NA",0.0118884912121497,0.00770247898809237,0.0183074743937684
"White",0.0134947036757797,0.0125875998955087,0.0144662186374084
"Asian / Asian British",0.0164270074742283,0.0124198529117323,0.021698628284651
"Black / African / Caribbean / Black British",0.0209882254351832,0.0147531165002496,0.0297788316289099
"Mixed",0.0203410627916238,0.0140462332012107,0.029372882493052
"Other",0.0181025872214361,0.0108358864927905,0.0300941814703394
"NA",0.0195843312912678,0.0139770520415116,0.0273786632649501
"1",0.00881730051185523,0.00715555887435053,0.0108607284041711
"2",0.00773130588458841,0.00677238526633479,0.00882479633784493
"3",0.0140347768196025,0.0121690651412437,0.0161818461100468
"4",0.0229355053974008,0.0204367743070289,0.0257317220423891
"5",0.02732955095087,0.0224978373479565,0.0331637348908332
"6+",0.0264793551817009,0.0199915520972474,0.034997437888079
"0",0.00849305648511778,0.00760466272168376,0.0094842425446692
"1+",0.0243196527998727,0.0223344537008028,0.0264765277946069
"NA",0.0169195812623327,0.0135130088674937,0.0211665097285028
"No",0.00808747823555737,0.00731743638570897,0.00893782492718187
"Yes, contact with confirmed/tested COVID-19 case",0.0800051222419202,0.07254581486074,0.0881585058452154
"Yes, contact with suspected COVID-19 case",0.0329381237097586,0.0239895353672576,0.0450705751748373
"NA",0.0124521390956243,0.0103757654833866,0.0149377596776965
"Classic COVID symptoms",0.0696140560114444,0.0631713307652362,0.076660094135716
"Other symptoms",0.0151730953157759,0.0130816984337962,0.0175928876813626
"No symptoms",0.00618479839868582,0.00545035900864041,0.00701750566827072
"NA",0.0123752718146185,0.0103033914481625,0.014857526334767
"1",0.0146848368310871,0.0121252643549494,0.0177749982011872
"2",0.0160738610700652,0.0140184516313938,0.0184250065203419
"3",0.0138519604183961,0.012107019143097,0.0158443602591073
"4",0.0125770965810949,0.0110051201830064,0.0143703521555387
"5",0.0136620422418017,0.0120820756475723,0.0154453900043685
"NA",0.0230463201184875,0.0206404142667434,0.0257252988222096
"Not vaccinated",0.0174587512449079,0.0133723501756035,0.0227650855641695
"One does",0.0227231493617744,0.0171226315455143,0.0300994024641467
"Two does",0.0168075390205356,0.0151370068460456,0.0186589396039229
"Three does",0.00420089548377478,0.00357944695455443,0.00492970350097692
"Unknown does",0.0110007408030315,0.007532595903129,0.0160398762117446
