"Round","Positive","Total","Prevalence","Lower","Upper"
"1",159,120620,0.00131818935499917,0.00112870094945453,0.00153944039746623
"2",123,159199,0.000772617918454262,0.000647647666505024,0.0009216802206817
"3",54,162821,0.000331652550960871,0.000254217065835681,0.00043266497144227
"4",137,154407,0.00088726547371557,0.000750658538418574,0.00104870642971283
"5",824,174949,0.00470994404083476,0.00439980836651417,0.00504182999184021
"6",1732,160175,0.0108131730919307,0.0103182902831205,0.0113315195621594
"6a",863,85965,0.0100389693479905,0.0093941092374593,0.0107276166049122
"6b",869,74210,0.0117100121277456,0.0109609001912343,0.0125096738227412
"7",1299,168181,0.00772382135913094,0.00731651868051206,0.00815361189875149
"7a",821,105122,0.00780997317402637,0.00729552738253432,0.00836038971626383
"7b",478,63059,0.00758020266734328,0.00693259521669458,0.00828780140066145
"8a",1962,142902,0.0137296888776924,0.013139293600637,0.0143462270661478
